Step,Hour,Battery,SolarOutput,Action,Reward,ApplianceDone
0,1.0,9.3,0.0,0,0,0.0
1,2.0,8.6,0.0,0,0,0.0
2,3.0,7.9,0.0,0,0,0.0
3,4.0,7.2,0.0,0,0,0.0
4,5.0,6.5,0.0,0,0,0.0
5,6.0,5.8,0.0,0,0,0.0
6,7.0,5.1,0.9026916,0,0,0.0
7,8.0,5.3026915,1.7438662,0,0,0.0
8,9.0,6.3465576,2.4661992,0,0,0.0
9,10.0,8.112757,3.020465,0,0,0.0
10,11.0,9.3,3.3688908,0,0,0.0
11,12.0,7.3,3.4877324,1,0,1.0
12,13.0,9.3,3.3688908,0,0,1.0
13,14.0,9.3,3.020465,0,0,1.0
14,15.0,9.3,2.4661992,0,0,1.0
15,16.0,9.3,1.7438662,0,0,1.0
16,17.0,9.3,0.9026916,0,0,1.0
17,18.0,9.3,4.2712404e-16,0,0,1.0
18,19.0,8.6,0.0,0,0,1.0
19,20.0,7.9,0.0,0,0,1.0
20,21.0,7.2,0.0,0,0,1.0
21,22.0,6.5,0.0,0,0,1.0
22,23.0,5.8,0.0,0,0,1.0
23,0.0,5.1,0.0,0,20,0.0
24,1.0,4.4,0.0,0,0,0.0
25,2.0,3.7,0.0,0,0,0.0
26,3.0,3.0,0.0,0,0,0.0
27,4.0,2.3,0.0,0,0,0.0
28,5.0,1.6,0.0,0,0,0.0
29,6.0,0.9,0.0,0,0,0.0
30,7.0,0.2,1.0454832,0,0,0.0
31,8.0,0.54548323,2.0197184,0,0,0.0
32,9.0,1.8652017,2.8563132,0,0,0.0
33,10.0,2.0215151,3.498255,1,0,1.0
34,11.0,4.81977,3.9017966,0,0,1.0
35,12.0,8.021566,4.039437,1,0,1.0
36,13.0,9.3,3.9017966,0,0,1.0
37,14.0,9.3,3.498255,0,0,1.0
38,15.0,9.3,2.8563132,0,0,1.0
39,16.0,9.3,2.0197184,0,0,1.0
40,17.0,9.3,1.0454832,0,0,1.0
41,18.0,9.3,4.9468836e-16,0,0,1.0
42,19.0,8.6,0.0,0,0,1.0
43,20.0,7.9,0.0,0,0,1.0
44,21.0,7.2,0.0,0,0,1.0
45,22.0,6.5,0.0,0,0,1.0
46,23.0,5.8,0.0,0,0,1.0
47,0.0,5.1,0.0,0,20,0.0
48,1.0,4.4,0.0,0,0,0.0
49,2.0,3.7,0.0,0,0,0.0
50,3.0,3.0,0.0,0,0,0.0
51,4.0,2.3,0.0,0,0,0.0
52,5.0,1.6,0.0,0,0,0.0
53,6.0,0.9,0.0,0,0,0.0
54,7.0,0.2,1.1823008,0,0,0.0
55,8.0,0.6823008,2.2840297,0,0,0.0
56,9.0,2.2663305,3.2301059,0,0,0.0
57,10.0,4.7964363,3.9560554,0,0,0.0
58,11.0,6.0524917,4.4124064,1,0,1.0
59,12.0,9.3,4.5680594,0,0,1.0
60,13.0,9.3,4.4124064,0,0,1.0
61,14.0,9.3,3.9560554,1,0,1.0
62,15.0,9.3,3.2301059,0,0,1.0
63,16.0,9.3,2.2840297,0,0,1.0
64,17.0,9.3,1.1823008,0,0,1.0
65,18.0,9.3,5.5942593e-16,0,0,1.0
66,19.0,8.6,0.0,0,0,1.0
67,20.0,7.9,0.0,0,0,1.0
68,21.0,7.2,0.0,0,0,1.0
69,22.0,6.5,0.0,0,0,1.0
70,23.0,5.8,0.0,0,0,1.0
71,0.0,5.1,0.0,0,20,0.0
72,1.0,4.4,0.0,0,0,0.0
73,2.0,3.7,0.0,0,0,0.0
74,3.0,3.0,0.0,0,0,0.0
75,4.0,2.3,0.0,0,0,0.0
76,5.0,1.6,0.0,0,0,0.0
77,6.0,0.9,0.0,0,0,0.0
78,7.0,0.2,1.229232,0,0,0.0
79,8.0,0.72923195,2.3746936,0,0,0.0
80,9.0,2.4039257,3.358324,0,0,0.0
81,10.0,5.0622497,4.11309,0,0,0.0
82,11.0,6.47534,4.587556,1,0,1.0
83,12.0,9.3,4.7493873,0,0,1.0
84,13.0,9.3,4.587556,0,0,1.0
85,14.0,9.3,4.11309,0,0,1.0
86,15.0,9.3,3.358324,0,0,1.0
87,16.0,9.3,2.3746936,0,0,1.0
88,17.0,9.3,1.229232,0,0,1.0
89,18.0,9.3,5.816322e-16,0,0,1.0
90,19.0,8.6,0.0,0,0,1.0
91,20.0,7.9,0.0,0,0,1.0
92,21.0,7.2,0.0,0,0,1.0
93,22.0,6.5,0.0,0,0,1.0
94,23.0,5.8,0.0,0,0,1.0
95,0.0,5.1,0.0,0,20,0.0
96,1.0,4.4,0.0,0,0,0.0
97,2.0,3.7,0.0,0,0,0.0
98,3.0,3.0,0.0,0,0,0.0
99,4.0,2.3,0.0,0,0,0.0
100,5.0,1.6,0.0,0,0,0.0
101,6.0,0.9,0.0,0,0,0.0
102,7.0,0.2,0.9685871,0,0,0.0
103,8.0,0.4685871,1.8711666,0,0,0.0
104,9.0,1.6397537,2.646229,0,0,0.0
105,10.0,3.5859828,3.2409556,0,0,0.0
106,11.0,4.1269383,3.6148162,1,0,1.0
107,12.0,7.0417547,3.7423332,0,0,1.0
108,13.0,9.3,3.6148162,0,0,1.0
109,14.0,9.3,3.2409556,0,0,1.0
110,15.0,9.3,2.646229,0,0,1.0
111,16.0,9.3,1.8711666,0,0,1.0
112,17.0,9.3,0.9685871,0,0,1.0
113,18.0,9.3,4.5830364e-16,0,0,1.0
114,19.0,8.6,0.0,0,0,1.0
115,20.0,7.9,0.0,0,0,1.0
116,21.0,7.2,0.0,0,0,1.0
117,22.0,6.5,0.0,0,0,1.0
118,23.0,5.8,0.0,0,0,1.0
119,0.0,5.1,0.0,0,20,0.0
120,1.0,4.4,0.0,0,0,0.0
121,2.0,3.7,0.0,0,0,0.0
122,3.0,3.0,0.0,0,0,0.0
123,4.0,2.3,0.0,0,0,0.0
124,5.0,1.6,0.0,0,0,0.0
125,6.0,0.9,0.0,0,0,0.0
126,7.0,0.2,1.140365,0,0,0.0
127,8.0,0.64036506,2.203016,0,0,0.0
128,9.0,2.143381,3.1155353,0,0,0.0
129,10.0,4.5589166,3.8157358,0,0,0.0
130,11.0,5.674652,4.2559004,1,0,1.0
131,12.0,9.230553,4.406032,0,0,1.0
132,13.0,9.3,4.2559004,0,0,1.0
133,14.0,9.3,3.8157358,1,0,1.0
134,15.0,9.3,3.1155353,0,0,1.0
135,16.0,9.3,2.203016,0,0,1.0
136,17.0,9.3,1.140365,0,0,1.0
137,18.0,9.3,5.3958333e-16,0,0,1.0
138,19.0,8.6,0.0,0,0,1.0
139,20.0,7.9,0.0,0,0,1.0
140,21.0,7.2,0.0,0,0,1.0
141,22.0,6.5,0.0,0,0,1.0
142,23.0,5.8,0.0,0,0,1.0
143,0.0,5.1,0.0,0,20,0.0
144,1.0,4.4,0.0,0,0,0.0
145,2.0,3.7,0.0,0,0,0.0
146,3.0,3.0,0.0,0,0,0.0
147,4.0,2.3,0.0,0,0,0.0
148,5.0,1.6,0.0,0,0,0.0
149,6.0,0.9,0.0,0,0,0.0
150,7.0,0.2,0.794652,0,0,0.0
151,8.0,0.294652,1.5351497,0,0,0.0
152,9.0,1.1298018,2.1710296,0,0,0.0
153,10.0,2.6008313,2.6589572,0,0,0.0
154,11.0,4.5597887,2.9656816,0,0,0.0
155,12.0,4.82547,3.0702994,1,0,1.0
156,13.0,7.19577,2.9656816,0,0,1.0
157,14.0,9.3,2.6589572,0,0,1.0
158,15.0,9.3,2.1710296,0,0,1.0
159,16.0,9.3,1.5351497,0,0,1.0
160,17.0,9.3,0.794652,0,0,1.0
161,18.0,9.3,3.7600325e-16,0,0,1.0
162,19.0,8.6,0.0,0,0,1.0
163,20.0,7.9,0.0,0,0,1.0
164,21.0,7.2,0.0,0,0,1.0
165,22.0,6.5,0.0,0,0,1.0
166,23.0,5.8,0.0,0,0,1.0
167,0.0,5.1,0.0,0,20,0.0
